time,stage,physical_stage,temperature,melted_fraction,mass_mg,mass_mgo,mass_c,radius,oxide_thickness,flame_radius,flame_temperature
0,heating_and_melting,Preheating,300,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0001,heating_and_melting,Preheating,300.559486133231,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0002,heating_and_melting,Preheating,301.11891282909,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0003,heating_and_melting,Preheating,301.678280064073,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0004,heating_and_melting,Preheating,302.237587814578,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0005,heating_and_melting,Preheating,302.796836056904,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0006,heating_and_melting,Preheating,303.356024767249,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0007,heating_and_melting,Preheating,303.915153921707,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0008,heating_and_melting,Preheating,304.474223496275,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0009,heating_and_melting,Preheating,305.033233466861,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.001,heating_and_melting,Preheating,305.592183809269,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0011,heating_and_melting,Preheating,306.151074499204,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0012,heating_and_melting,Preheating,306.70990551227,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0013,heating_and_melting,Preheating,307.268676823969,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0014,heating_and_melting,Preheating,307.827388409703,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0015,heating_and_melting,Preheating,308.386040244773,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0016,heating_and_melting,Preheating,308.944632304378,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0017,heating_and_melting,Preheating,309.503164563618,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0018,heating_and_melting,Preheating,310.06163699749,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0019,heating_and_melting,Preheating,310.620049580892,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.002,heating_and_melting,Preheating,311.17840228862,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0021,heating_and_melting,Preheating,311.736695095368,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0022,heating_and_melting,Preheating,312.294927975732,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0023,heating_and_melting,Preheating,312.853100904204,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0024,heating_and_melting,Preheating,313.411213855177,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0025,heating_and_melting,Preheating,313.969266802942,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0026,heating_and_melting,Preheating,314.52725972169,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0027,heating_and_melting,Preheating,315.085192585511,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0028,heating_and_melting,Preheating,315.643065368392,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0029,heating_and_melting,Preheating,316.200878044223,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.003,heating_and_melting,Preheating,316.758630586789,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0031,heating_and_melting,Preheating,317.316322969776,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0032,heating_and_melting,Preheating,317.873955165958,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0033,heating_and_melting,Preheating,318.431527148105,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0034,heating_and_melting,Preheating,318.989038889737,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0035,heating_and_melting,Preheating,319.546490364268,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0036,heating_and_melting,Preheating,320.103881545002,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0037,heating_and_melting,Preheating,320.661212405134,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0038,heating_and_melting,Preheating,321.218482917751,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
0.0039,heating_and_melting,Preheating,321.775693055832,0,1.1388273369263e-10,0,0,2.5e-05,0,NaN,NaN
